id,Flag,bat_name_counterpart,bat_category_type,fermi_name_counterpart,fermi_name_counterpart2,fermi_category_type,separation,bat_id,bat_pindex,bat_pindex_errm,bat_pindex_errp,bat_flux,bat_flux_errm,bat_flux_errp,bat_ra,bat_dec,bat_redshift,fermi_id,fermi_pindex_PL,fermi_pindex_PL_err,fermi_flux,fermi_flux_errm,fermi_flux_errp,fermi_var_index,fermi_ra,fermi_dec,match_with_1FLE,match_4FGLand1FLE_IDmatch,LP_alpha,LP_alpha_err,LP_beta,LP_beta_err,LP_K,LP_K_err,LP_redchi2,LP_dof,BPL_index1,BPL_index1_err,BPL_index2,BPL_index2_err,BPL_Eb,BPL_Eb_err,BPL_K,BPL_K_err,BPL_redchi2,BPL_dof,2compModel_Flux1to10MeV,Model
77,M,4C +33.06,Beamed AGN,4C +33.06,,bcu,0.048600199,1253,1.86,0.51,0.57,1.19E-11,3.29E-12,2.51E-12,46.19,33.804,0,642,2.569782019,0.11297968,2.99E-12,6.30E-13,6.30E-13,33.11779785,46.13790131,33.8260994,0,0,1.94,0.07,0.154,0.0347,7.02E-06,2.53E-06,0.6,9,1.85,0.313,3.05,0.198,61000000,123000000,7.10E-12,7.68E-12,0.5,8,1.84E-11,LP
78,M,PKS 0706-15,Beamed AGN,PKS 0706-15,,bcu,0.023555555,358,3.42,0.79,1.32,7.37E-12,1.63E-12,1.99E-12,107.329,-15.437,0,1429,1.810823083,0.095658876,4.62E-12,7.12E-13,7.12E-13,18.51443672,107.3095016,-15.45119953,0,0,2.32,0.05,-0.0709,0.0182,6.68E-07,1.97E-07,1,9,3.42,0.574,1.8,0.116,382000,489000,2.63E-14,5.90E-14,0.7,8,4.09E-13,LP
79,M,PKS 0723-008,Beamed AGN,PKS 0723-008,,bcu,0.029751247,367,1.75,0.46,0.51,1.49E-11,3.10E-12,3.88E-12,111.478,-0.942,0.128,1479,2.060087919,0.050564658,1.08E-11,7.04E-13,7.04E-13,21.61854172,111.4698029,-0.913399994,0,0,2.12,0.03,-0.013,0.00864,1.76E-06,2.39E-07,1.1,12,1.82,4.95,2.09,0.0169,2.56,16.5,1.06E-10,6.71E-09,1.3,11,4.15E-11,LP
80,M,2MASX J07332681+5153560,Beamed AGN,NVSS J073326+515355,,bcu,0.057414084,376,2.32,0.71,0.93,8.17E-12,2.17E-12,2.27E-12,113.404,51.931,0,1503,1.814691186,0.092724226,2.78E-12,3.91E-13,3.91E-13,12.43382835,113.3619003,51.87979889,0,0,2.32,0.04,-0.0646,0.0149,4.97E-07,1.17E-07,1.1,11,2.26,0.0355,1.81,0.102,591000000,473000000,1.47E-12,2.55E-13,1.2,10,2.15E-12,LP
81,D,IGR J13109-5552,Sy1,PMN J1310-5552,,bcu,0.030476506,659,1.56,0.3,0.31,2.47E-11,2.81E-12,3.05E-12,197.714,-55.912,0.104,2821,2.820767641,0.119176,7.23E-12,1.23E-12,1.23E-12,78.18166351,197.6837006,-55.88669968,0,0,2,0.05,0.13,0.0273,8.84E-06,2.50E-06,0.8,9,1.56,0.182,2.75,0.147,3880000,3870000,3.21E-11,1.90E-11,0.9,8,4.00E-10,LP
82,M,PMN J1508-4953,Beamed AGN,PMN J1508-4953,,bcu,0.013376623,755,1.15,0.34,0.33,2.86E-11,3.92E-12,3.73E-12,227.164,-49.865,0,3303,2.842568636,0.049620178,1.86E-11,1.49E-12,1.49E-12,35.64173126,227.1437073,-49.86220169,0,0,1.81,0.03,0.183,0.0167,1.90E-05,3.08E-06,0.8,9,1.15,0.2,2.86,0.0646,3470000,1860000,1.08E-10,6.49E-11,1,8,7.88E-10,LP
83,D,SGR A*,Galactic Center,Galactic Centre,,bcu,0.016038819,912,2.69,0.13,0.13,1.13E-10,3.26E-12,5.02E-12,266.416,-29.013,0,4172,2.339550495,0.011237243,4.21E-10,1.48E-11,1.48E-11,2.600498199,266.4147034,-28.99699974,0,0,1.77,0.01,0.0951,0.00288,9.80E-05,3.60E-06,33.7,11,2.39,0.067,2.06,,42500,,1.59E-11,3.48E-12,142.5,10,8.40E-12,2comp
84,M,PKS 1936-623,Beamed AGN,PKS 1936-623,,bcu,0.016516815,1569,1.32,0.5,0.49,1.78E-11,3.51E-12,3.25E-12,295.321,-62.164,0,4906,2.427847385,0.017432943,3.64E-11,8.97E-13,8.97E-13,1214.603149,295.3468018,-62.1753006,2,1,1.78,0.02,0.111,0.00503,9.62E-06,8.18E-07,1.1,12,1.32,0.294,2.49,0.0132,3480000,3830000,4.30E-11,3.94E-11,8,11,2.70E-10,LP
85,M,SWIFT J1943536.21+211822.9,Beamed AGN,MG2 J194359+2118,,bcu,0.02761934,1046,2.11,0.23,0.25,2.76E-11,2.26E-12,2.45E-12,295.983,21.309,0,4913,1.50675261,0.075208172,7.44E-12,9.83E-13,9.83E-13,14.68590832,296.0049133,21.29039955,0,0,2.3,0.04,-0.0595,0.0141,1.66E-06,3.77E-07,2.2,8,2.19,0.0188,1.67,0.235,5480000000,3070000000,5.77E-12,7.44E-13,1.4,7,1.54E-11,LP
86,M,B2 2023+33,Beamed AGN,B2 2023+33,,bcu,0.008100051,1581,1.49,0.54,0.57,1.33E-11,2.81E-12,3.13E-12,306.341,33.681,0.219,5077,2.631348372,0.043469351,2.93E-11,2.81E-12,2.81E-12,116.0126648,306.3411865,33.68909836,0,0,1.74,0.04,0.145,0.0174,1.13E-05,2.25E-06,0.7,10,1.49,0.322,2.74,0.0606,20000000,32300000,2.09E-11,2.16E-11,1,9,9.48E-11,LP
87,M,RX J2056.6+4940,Beamed AGN,RGB J2056+496,,bcu,0.007037282,1093,2.62,0.38,0.46,1.30E-11,2.02E-12,1.70E-12,314.202,49.665,0,5210,1.861838102,0.040669929,2.15E-11,1.25E-12,1.25E-12,24.68267441,314.1913147,49.66630173,0,0,2.15,0.02,-0.0373,0.00662,2.04E-06,2.20E-07,1.2,10,2.61,0.248,1.85,0.038,810000,1010000,7.55E-13,7.00E-13,0.8,9,3.54E-12,LP
88,M,RBS 1895,Beamed AGN,RBS 1895,,bcu,0.014496716,1619,2.51,0.7,1.07,6.97E-12,1.57E-12,1.76E-12,341.661,-52.12,0.194,5550,1.709237456,0.119823687,2.01E-12,3.74E-13,3.74E-13,19.09787941,341.6824951,-52.12599945,0,0,2.4,0.05,-0.0888,0.0196,3.03E-07,9.86E-08,0.4,9,2.51,0.262,1.66,0.122,68200000,165000000,5.57E-13,5.47E-13,0.4,8,8.17E-13,LP
89,M,1RXS J225146.9-320614,Beamed AGN,1RXS J225146.9-320614,,bcu,0.043600213,1169,2.01,0.43,0.5,1.40E-11,1.92E-12,2.47E-12,342.944,-32.096,0.246,5570,1.785957098,0.162133962,1.52E-12,3.51E-13,3.51E-13,11.20090961,342.9436035,-32.13959885,0,0,2.36,0.07,-0.0405,0.036,6.81E-07,3.37E-07,1.2,10,2.35,0.0499,1.96,0.207,548000000,292000000,1.50E-12,2.99E-13,1.1,9,1.18E-11,LP
90,M,PKS 0521-36,Beamed AGN,PKS 0521-36,,AGN,0.017504225,272,1.92,0.16,0.16,3.51E-11,2.56E-12,2.53E-12,80.758,-36.464,0.0553,1068,2.456803322,0.013364203,5.51E-11,9.80E-13,9.80E-13,676.4960938,80.73699951,-36.46860123,2,1,1.86,0.01,0.104,0.00343,2.13E-05,8.09E-07,4.5,12,1.92,0.0161,2.49,0.0131,142000000,31800000,1.69E-11,9.82E-13,7.3,11,8.02E-11,LP
91,M,Cen A,Beamed AGN,Cen A,CenA Lobes field,RDG,0.012179063,670,1.88,0,0.01,1.35E-09,3.05E-12,3.69E-12,201.365,-43.019,0.0018,2881,2.635287285,0.020931909,6.26E-11,1.42E-12,1.42E-12,18.01937675,201.3813019,-43.01649857,2,1,2.22,0,0.116,0.000953,0.000261357,2.07E-06,14.5,12,1.88,0.0032,2.64,0.0225,1100000,213000,7.21E-10,7.94E-12,3.6,11,2.83E-09,LP
92,M,3C 120,Beamed AGN,3C 120,,RDG,0.038519525,225,2.01,0.08,0.07,9.54E-11,2.33E-12,3.11E-12,68.298,5.356,0.033,915,2.744016171,0.043364208,1.45E-11,1.02E-12,1.02E-12,278.8041687,68.26180267,5.369599819,0,0,2.13,0.01,0.0952,0.00706,2.40E-05,1.85E-06,4.1,10,2,0.0443,2.8,0.0414,28400000,11800000,3.58E-11,5.61E-12,3.6,9,8.06E-11,LP
93,M,NGC 1275,Beamed AGN,NGC 1275,,RDG,0.009372118,172,3.82,0.09,0.1,8.26E-11,1.47E-12,1.05E-12,49.947,41.507,0.0176,697,2.105507851,0.005205145,3.32E-10,3.85E-12,3.85E-12,4829.674316,49.95750046,41.51210022,2,1,1.94,0,0.0315,0.00108,4.72E-05,6.61E-07,217.5,12,3.67,,2,,29400,,1.22E-13,,221.6,11,2.58E-11,2comp
94,M,PKS 2300-18,Beamed AGN,PKS 2300-18,,rdg,0.068950004,1180,2.03,0.51,0.62,1.46E-11,2.70E-12,2.53E-12,345.788,-18.698,0.1283,5604,2.182284594,0.12027356,2.45E-12,3.68E-13,3.68E-13,9.930710793,345.71521,-18.69849968,0,0,2.27,0.04,-0.0123,0.0227,1.26E-06,3.61E-07,0.9,10,2.13,,2.2,,17000,,2.52E-12,,1.8,9,1.40E-11,LP
95,D,3C 303,Sy1,3C 303,,rdg,0.045842945,1449,2.39,0.69,0.97,5.70E-12,1.86E-12,1.73E-12,220.73,52.064,0.1412,3202,2.048519373,0.121781006,1.70E-12,2.83E-13,2.83E-13,8.547168732,220.7789001,52.02939987,0,0,2.23,0.04,-0.0127,0.0166,6.75E-07,1.69E-07,0.5,10,2.38,,2.13,,1140000,,6.86E-13,,0.6,9,1.79E-12,LP
96,D,PICTOR A,Sy2,Pictor A,,rdg,0.044788887,269,2.05,0.15,0.15,3.73E-11,2.39E-12,2.35E-12,79.952,-45.775,0.0351,1061,2.429515362,0.122413501,4.12E-12,6.51E-13,6.51E-13,7.309115887,79.90579987,-45.7439003,0,0,2.22,0.03,0.0447,0.0166,5.31E-06,1.02E-06,1.2,11,2.05,0.0881,2.47,0.124,2320000,4990000,1.23E-11,3.85E-12,1.2,10,4.63E-11,LP
97,M,QSO B0309+411,Beamed AGN,B3 0309+411B,,rdg,0.039173279,169,1.58,0.51,0.53,1.52E-11,2.94E-12,3.22E-12,48.257,41.291,0.136,673,2.694086075,0.335408837,4.12E-12,1.81E-12,1.81E-12,24.95969009,48.24380112,41.32889938,0,0,2.02,0.12,0.108,0.0627,4.55E-06,3.32E-06,0.9,8,1.58,0.306,2.44,0.472,473000,2360000,1.86E-11,1.87E-11,0.9,7,1.55E-10,LP
98,D,NGC 4945,Sy2,NGC 4945,,sbg,0.003441525,654,1.5,0.02,0.03,2.82E-10,2.98E-12,3.79E-12,196.365,-49.47,0.0019,2800,2.27400732,0.04732452,1.12E-11,7.01E-13,7.01E-13,10.28437996,196.3634949,-49.47330093,0,0,2.14,0.01,0.232,0.00605,0.000101975,3.60E-06,46.8,11,1.77,0.269,2.31,0.00323,3490,5840,5.09E-10,5.02E-10,284,10,1.91E-09,User
99,M,M 82,Starburst galaxy,M 82,,sbg,0.028525516,477,3.39,0.88,1.61,4.83E-12,1.40E-12,1.04E-12,148.908,69.642,0,2022,2.219928265,0.036647372,1.06E-11,4.76E-13,4.76E-13,6.064131737,148.9470062,69.667099,0,0,1.99,0.03,0.0362,0.0075,2.24E-06,2.89E-07,2.4,11,3.39,,2.1,0.0114,20400,,1.97E-14,,5.8,10,1.49E-11,LP
100,D,NGC 1068,Sy1.9,NGC 1068,,sbg,0.004172397,143,1.82,0.15,0.16,3.79E-11,2.23E-12,2.49E-12,40.664,-0.004,0.0038,576,2.327714443,0.062270343,6.53E-12,5.18E-13,5.18E-13,17.73657799,40.66699982,-0.0069,0,0,2.14,0.02,0.062,0.0152,6.93E-06,1.16E-06,3.8,10,1.87,0.944,2.24,0.0087,145,1330,1.35E-10,9.63E-10,6.2,9,8.66E-11,LP
101,M,Circinus Galaxy,Sy2,Circinus galaxy,,sey,0.009952311,710,2.09,0.02,0.02,2.73E-10,1.90E-12,2.69E-12,213.292,-65.342,0.0014,3078,2.262383699,0.099448845,6.68E-12,1.06E-12,1.06E-12,14.40029716,213.2944031,-65.33209991,0,0,9.77,0.27,2.62,0.0914,1.50E-10,6.98E-11,8,10,1.94,0.625,2.36,0.00419,9310,35500,2.13E-10,3.97E-10,197,9,1.77E-10,User
102,M,1H 0323+342,Beamed AGN,1H 0323+342,,nlsy1,0.046030417,173,1.62,0.29,0.31,2.73E-11,3.41E-12,2.44E-12,51.21,34.166,0.061,709,2.817988396,0.036921266,1.92E-11,9.41E-13,9.41E-13,197.3748932,51.2057991,34.2118988,0,0,1.83,0.02,0.182,0.0118,2.19E-05,2.39E-06,1.2,11,1.63,0.181,2.86,0.0435,16300000,14600000,2.96E-11,1.77E-11,1,10,8.18E-10,LP
103,M,3C 380,Beamed AGN,3C 380,,css,0.027684622,979,1.52,0.38,0.39,1.52E-11,2.37E-12,2.72E-12,277.403,48.737,0.692,4513,2.423872709,0.02688086,1.79E-11,7.04E-13,7.04E-13,68.74333954,277.3996887,48.76459885,2,1,1.89,0.02,0.0918,0.0069,6.39E-06,5.81E-07,1.3,12,1.52,0.227,2.45,0.0242,3610000,4000000,2.20E-11,1.63E-11,2.4,11,1.06E-10,LP
104,M,Cas A,SNR,Cas A,,snr,0.007926257,1192,3.33,0.09,0.1,6.49E-11,1.47E-12,1.92E-12,350.846,58.817,0,5659,1.971131086,0.016863028,6.17E-11,1.92E-12,1.92E-12,4.546471596,350.8612976,58.81729889,0,0,2.21,0.01,-0.0393,0.00245,9.90E-06,3.66E-07,63.6,10,3.36,0.0581,2.01,0.0131,66000,7790,2.84E-13,6.42E-14,8.8,9,7.97E-13,2comp
105,M,Tycho SNR,SNR,Tycho,,snr,0.01004581,11,3.03,0.43,0.54,1.31E-11,1.21E-12,1.62E-12,6.326,64.142,0,99,2.181818724,0.070391469,9.78E-12,1.06E-12,1.06E-12,4.237221241,6.340499878,64.14980316,0,0,2.13,0.03,0.0116,0.0108,3.29E-06,4.97E-07,4.1,10,3.27,0.391,2.13,0.0174,33300,8670,7.22E-14,1.11E-13,3,9,1.10E-11,2comp
106,D,SNR G068.8+02.6,SNR,PSR J1952+3252,,PSR,0.015877075,1051,2.27,0.58,0.8,9.21E-12,1.95E-12,1.78E-12,298.262,32.893,0,4946,2.281392336,0.009365071,1.51E-10,2.69E-12,2.69E-12,6.008659363,298.2473145,32.88299942,0,0,-1.95,0.2,0.665,0.0306,3.78E-11,2.83E-11,5,11,1.75,0.0213,2.98,0.0208,1380000000,43800000,8.43E-12,1.11E-12,16.1,10,1.32E-11,2comp
107,D,SNR G21.5-00.9,SNR,PSR J1833-1034,,PSR,0.009600587,981,2.26,0.09,0.09,7.45E-11,2.36E-12,2.81E-12,278.386,-10.566,0,4542,2.500827312,0.025577106,8.20E-11,4.32E-12,4.32E-12,3.027546167,278.3832092,-10.55679989,0,0,1.93,0.01,0.0835,0.00449,3.70E-05,2.05E-06,15.8,11,2.28,0.297,2.18,0.00758,22100,5060,1.19E-11,1.37E-11,46.5,10,5.29E-11,2comp
108,F,4U 1820-30,LMXB,PSR J1823-3021A,,PSR,0.02515357,968,5.2,0.01,0.02,9.49E-10,1.10E-12,1.13E-12,275.918,-30.36,0,4472,2.214353323,0.03561008,1.41E-11,7.33E-13,7.33E-13,2.60368824,275.89151,-30.34950066,0,0,7.95,,0.783,,9.58E-12,,45.4,11,5.06,,2.41,,89900,,5.24E-15,,4930.4,10,3.12E-13,2comp
109,F,SLX 1744-299,LMXB,PSR J1747-2958,,PSR,0.047169161,921,3.25,0.06,0.06,1.33E-10,1.73E-12,1.72E-12,266.858,-30.001,0,4186,2.563170195,0.026847795,1.57E-10,6.61E-12,6.61E-12,14.50856686,266.8230896,-29.96479988,0,0,2.84,0.02,-0.126,0.0066,1.15E-06,1.24E-07,106.3,10,3.11,0.0325,2.27,0.00269,87500,,1.45E-12,1.74E-13,112.1,9,1.31E-11,2comp
110,D,1RXS J122758.8-485343,CV,PSR J1227-4853,,PSR,0.007396431,617,1.85,0.18,0.19,3.68E-11,3.76E-12,2.61E-12,187.016,-48.891,0,2668,2.381770611,0.026682226,2.26E-11,1.26E-12,1.26E-12,74.36132813,187.0101013,-48.88470078,0,0,1.99,0.02,0.0692,0.00714,1.19E-05,1.02E-06,2.3,10,1.85,0.111,2.45,0.0337,13400000,15400000,2.16E-11,8.18E-12,3.4,9,6.79E-11,LP
111,M,PSR J1124-5916,Pulsar,PSR J1124-5916,,PSR,0.053658228,540,2.47,0.65,0.89,8.28E-12,1.83E-12,2.62E-12,171.123,-59.307,0,2391,2.460952759,0.017608956,6.12E-11,1.69E-12,1.69E-12,8.561666489,171.1773987,-59.26110077,0,0,-1.76,0.43,0.674,0.0674,6.14E-11,9.62E-11,3.6,11,1.85,0.0198,3.1,0.051,1230000000,58600000,6.60E-12,8.11E-13,1.2,10,1.86E-11,2comp
112,M,Vela Pulsar,Pulsar,PSR J0835-4510,Vela X field,PSR,0.005649806,420,1.97,0.03,0.04,1.75E-10,2.33E-12,2.57E-12,128.841,-45.183,0,1749,2.234131098,0.001425366,9.39E-09,2.93E-11,2.93E-11,4.560324669,128.8370056,-45.17810059,2,1,1.26,0,0.202,0.000515,0.000650069,7.01E-06,2093,12,1.63,0.00142,3.1,0.00308,1470000000,10300000,2.29E-10,1.68E-12,895.6,11,4.25E-10,2comp
113,M,PSR B0540-69,Pulsar,PSR J0540-6919,LMC-Galaxy field,PSR,0.026777053,296,1.93,0.12,0.11,4.93E-11,2.19E-12,1.90E-12,85.016,-69.346,0,1144,2.473681688,0.02800536,2.75E-11,1.55E-12,1.55E-12,8.074471474,85.08869934,-69.33830261,0,0,1.97,0.01,0.0986,0.00701,2.09E-05,1.67E-06,2.9,10,1.93,0.0692,2.66,0.0335,67300000,49700000,2.31E-11,5.54E-12,2.8,9,8.88E-11,LP
114,F,2MASX J04372814-4711298,Sy1,PSR J0437-4715,,PSR,0.078769088,228,1.96,0.55,0.66,9.93E-12,1.74E-12,2.28E-12,69.405,-47.206,0.053,931,2.347970247,0.020466294,1.73E-11,5.26E-13,5.26E-13,9.624285698,69.31359863,-47.25450134,0,0,1.78,0.04,0.127,0.00801,6.52E-06,8.89E-07,34.5,9,1.94,0.0207,3.98,0.162,1450000000,51200000,3.91E-12,4.85E-13,2.3,8,1.04E-11,LP
115,M,PSR J1811-1925,Pulsar,PSR J1811-1925,HESS J1809-193 field,psr,0.014119815,955,2.07,0.2,0.22,3.47E-11,2.69E-12,3.05E-12,272.872,-19.424,0,4383,2.140100718,0.130677313,1.12E-11,3.17E-12,3.17E-12,8.643215179,272.8865051,-19.42749977,0,0,2.06,0.05,0.0389,0.0166,8.32E-06,2.04E-06,1.3,8,2.08,0.12,2.58,0.177,1240000000,3280000000,1.05E-11,4.34E-12,1.2,7,3.22E-11,LP
116,M,Crab,Pulsar,Crab Nebula$^\dagger$,,PWN,0.003074462,286,2.17,0,0,2.33E-08,3.50E-12,3.30E-12,83.632,22.017,0,1118,3.801891804,0.117021665,1.57E-10,2.33E-11,2.33E-11,606.1685791,83.63310242,22.01989937,0,0,2.34,0,0.0557,0.000354,0.002535049,4.49E-06,976.9,8,2.17,0.000202,3.5,0.0989,20600000,3180000,5.33E-09,3.84E-12,177.1,7,6.29E-07,LP
117,F,IGR J17461-2853,molecular cloud,PWN G0.13-0.11,,pwn,0.078567487,915,1.7,0.54,0.55,3.25E-11,8.35E-12,8.61E-12,266.52,-28.886,0,4179,2.456714869,0.029087128,7.00E-11,7.18E-12,7.18E-12,7.365031242,266.6073914,-28.8682003,0,0,1.66,0.03,0.136,0.00739,3.19E-05,4.54E-06,9.1,10,1.69,0.312,2.67,0.0279,106000000,265000000,2.98E-11,3.00E-11,15.3,9,9.68E-11,LP
118,M,Cyg X-3,HMXB,Cyg X-3,Cygnus Cocoon field,HMB,0.072412756,1080,3,0,0.01,2.47E-09,1.93E-12,1.62E-12,308.108,40.958,0,5109,2.656200886,0.063749783,3.47E-11,5.20E-12,5.20E-12,82.61193085,308.1525879,40.89390182,0,0,6.98,0.03,1.27,0.00955,2.01E-08,1.10E-09,83.2,10,2.75,0.00222,3.56,0.0101,31300,164,1.04E-10,8.96E-13,168.3,9,3.37E-11,2comp
119,M,RX J1826.2-1450,HMXB,LS 5039,,HMB,0.002286652,976,1.62,0.25,0.25,3.27E-11,3.07E-12,2.28E-12,276.562,-14.848,0,4493,2.61397481,0.013810563,2.72E-10,9.19E-12,9.19E-12,9.032120705,276.5636902,-14.84959984,0,0,1.54,0.01,0.178,0.0043,5.74E-05,3.16E-06,5,12,1.63,0.0868,2.68,0.0136,123000000,81100000,3.46E-11,9.74E-12,13.4,11,1.99E-10,LP
120,M,2XMM J130247.6-635008,HMXB,PSR B1259-63,,HMB,0.069481102,1413,1.2,0.58,0.54,1.95E-11,3.96E-12,4.12E-12,195.58,-63.855,0,2786,2.745336771,0.138906509,1.64E-11,3.70E-12,3.70E-12,187.2807922,195.7274017,-63.83039856,0,0,1.7,0.11,0.235,0.0635,2.37E-05,1.35E-05,1.7,11,1.21,0.324,3.1,0.251,9620000,10500000,6.35E-11,6.28E-11,1.6,10,8.56E-10,LP
121,M,LS I +61 303,HMXB,LSI +61 303,,HMB,0.014229947,138,1.73,0.2,0.2,3.19E-11,2.96E-12,2.18E-12,40.163,61.239,0,568,2.377352953,0.005148982,4.71E-10,4.51E-12,4.51E-12,250.57724,40.14260101,61.22869873,2,1,1.5,0.01,0.153,0.00255,4.80E-05,2.63E-06,35.4,12,1.7,0.00836,2.59,0.00593,421000000,18000000,2.85E-11,1.15E-12,72,11,1.03E-10,LP
122,M,Cyg X-1,HMXB,Cyg X-1,,hmb,0.03541561,1053,1.9,0,0,1.72E-08,1.90E-12,3.40E-12,299.591,35.201,0,4974,2.136336327,0.10691309,6.55E-12,1.05E-12,1.05E-12,12.48942947,299.6343079,35.20240021,0,0,2.74,0,0.294,0.000945,0.001434647,6.32E-06,313.5,10,1.88,0.000229,2.84,0.00596,102000,175,9.30E-09,7.35E-12,6798.2,9,2.27E-08,LP
123,M,V395 Car,LMXB,2S 0921-630,,lmb,0.052549864,1350,5.38,1.34,2.39,5.64E-12,8.30E-13,9.90E-13,140.549,-63.315,0,1912,2.231203079,0.097449243,1.94E-12,3.58E-13,3.58E-13,2.717906713,140.4454041,-63.29059982,0,0,2.41,0.1,-0.104,0.0471,4.05E-07,2.55E-07,3.1,8,5.38,,0.187,,11500000,,3.40E-18,,12.7,7,3.26E-18,LP
124,M,Eta Carina,XRB,Eta Carinae,FGES J1036.3-5833 field,BIN,0.005007235,513,3.76,0.86,1.31,7.80E-12,1.39E-12,1.39E-12,161.272,-59.678,0,2220,2.310899258,0.011774341,1.85E-10,5.55E-12,5.55E-12,46.68136978,161.2774048,-59.68220139,0,0,1.58,0.03,0.12,0.00491,1.72E-05,1.90E-06,5.8,11,3.61,,1.99,0.00344,13900,,1.34E-14,1.95E-14,175.7,10,7.55E-12,LP
125,F,4U 2129+12,LMXB,NGC 7078,,glc,0.026179509,1112,2.66,0.09,0.08,7.69E-11,1.59E-12,1.93E-12,322.49,12.169,0,5308,2.61784935,0.101610787,4.21E-12,5.61E-13,5.61E-13,22.57378387,322.4823914,12.14389992,0,0,2.5,0.02,-0.0298,0.00937,3.56E-06,4.87E-07,3.9,10,2.57,0.0634,2.42,,42500,,5.14E-12,1.21E-12,3.4,9,6.01E-11,LP
