id,Flag,fermi_name_counterpart,fermi_extended_name,fermi_category_type,num_matched,bat_name_counterpart_nearest,bat_category_type_nearest,sep_nearest,bat_name_counterpart,bat_category_type,sep,fermi_idx,fermi_extended_idx,fermi_ra,fermi_dec,fermi_extended_model_major,fermi_extended_model_minor,fermi_flux,fermi_flux_errm,fermi_flux_errp,fermi_pindex_PL,fermi_pindex_PL_err,fermi_var_index,bat_idx_nearest,bat_idx,bat_flux_errm_nearest_nearest,bat_flux_errp,bat_flux_nearest,bat_pindex_nearest,bat_pindex_errm_nearest,bat_pindex_errp_nearest,LP_alpha,LP_alpha_err,LP_beta,LP_beta_err,LP_K,LP_K_err,LP_redchi2,LP_dof,BPL_index1,BPL_index1_err,BPL_index2,BPL_index2_err,BPL_Eb,BPL_Eb_err,BPL_K,BPL_K_err,BPL_redchi2,BPL_dof,2compModel_Flux1to10MeV,Model
21,F,gamma Cygni,gamma Cygni,SNR,1,2MASX J20183871+4041003,Sy2,0.480029685,,,,5054,67,305.269989,40.52000046,0.6,0.6,1.04E-10,6.71E-12,6.71E-12,1.96,0.03,4.077666283,1072,,2.08E-12,2.00E-12,2.62E-11,2.03,0.2,0.22,1.94,0.02,0.00464,0.00494,8.02E-06,6.42E-07,2.9,11,2,0.21,1.95,0.03,87500,119000,1.02E-11,7.70E-12,3.2,10,2.08E-11,LP
22,M,RX J1713.7-3946,RX J1713.7-3946,SNR,2,SWIFT J1712.9-4002,U1,0.290890956,['SNR G347.3-0.5' 'SWIFT J1712.9-4002'],['SNR' 'U1'],[ 0.31947399  0.29089096],3914,45,258.3900146,-39.75999832,0.6,0.6,7.02E-11,3.43E-12,3.43E-12,1.71,0.03,4.359415531,1499,[ 869  1499 ],1.67E-12,1.85E-12,1.33E-11,3.25,0.48,0.57,2.11,0.02,-0.0476,0.00535,3.61E-06,3.18E-07,4,10,3.11,0.22,1.73,0.03,305000,143000,2.08E-13,1.72E-13,1.6,9,1.93E-13,2comp
23,F,Cygnus X,Cygnus Cocoon,SFR,3,Cyg X-3,HMXB,0.738306273,['2MASX J20183871+4041003' 'Cyg X-3' 'SSTSL2 J203705.58+415005.3'],['Sy2' 'HMXB' 'Beamed AGN'],[ 1.94970595  0.73830627  1.71190842],5088,68,307.1700134,41.16999817,3,3,1.15E-09,1.81E-11,1.81E-11,2.09,0.01,16.58218002,1080,[ 1072  1080  1085 ],1.93E-12,1.62E-12,2.47E-09,3,0,0.01,6.98,0.03,1.27,0.0095,2.01E-08,1.10E-09,396.1,11,3,0,2.05,0.01,140000,10100,3.87E-11,2.03E-13,2300,10,2.02E-10,2comp
24,M,HESS J1632-478,FGES J1633.0-4746,spp,5,AX J1631.9-4752,Pulsar,0.198037791,['AX J1631.9-4752' '4U 1630-47' 'IGR J16328-4726' 'SGR 1627-41' 'IGR J16358-4726'],['Pulsar' 'LMXB' 'HMXB' 'Gamma-ray source' 'Pulsar'],[ 0.19803779  0.41244745  0.38113888  0.51302376  0.59021172],3688,40,248.2590027,-47.77000046,0.6,0.6,2.45E-10,1.44E-11,1.44E-11,2.17,0.004,12.78536892,818,[ 818  820  821  1482  1483 ],1.66E-12,2.24E-12,3.12E-10,2.84,0.02,0.02,2.48,0.01,-0.102,0.00185,1.09E-05,3.62E-07,299.6,10,2.82,0.01,2.05,,125000,,9.11E-12,3.36E-13,266.8,9,2.95E-11,2comp
25,A,HESS J1809-193,HESS J1809-193,spp,2,PSR J1811-1925,Pulsar,0.266015723,['XTE J1810-189' 'PSR J1811-1925'],['LMXB' 'Pulsar'],[ 0.36002008  0.26601572],4371,53,272.5899963,-19.43000031,0.5,0.5,5.13E-11,8.28E-12,8.28E-12,2.36,0.05,8.205610275,955,[ 953  955 ],2.69E-12,3.05E-12,3.47E-11,2.07,0.2,0.22,1.93,0.03,0.0503,0.0143,1.39E-05,2.43E-06,2.8,9,1.99,0.01,2.63,0.17,1730000000,261000000,1.43E-11,1.46E-12,1.4,8,2.27E-11,LP
26,M,HESS J1813-178,HESS J1813-178,spp,2,IGR J18135-1751,SNR,0.239598347,['IGR J18135-1751' 'GX 13+1'],['SNR' 'LMXB'],[ 0.23959835  0.56646405],4391,54,273.2900085,-17.62000084,0.6,0.6,1.51E-10,1.02E-11,1.02E-11,2.34,0.03,4.05553484,956,[ 956  957 ],2.66E-12,2.36E-12,4.07E-11,1.92,0.18,0.18,1.78,0.02,0.0853,0.00644,2.86E-05,2.18E-06,2.8,10,1.9,0.01,2.53,0.05,1170000000,223000000,2.09E-11,1.01E-12,0.6,9,5.24E-11,LP
27,F,W 41,W 41,spp,1,Swift J1834.9-0846,star,0.188878807,,,,4548,57,278.6400146,-8.779999733,0.2,0.2,1.06E-10,6.85E-12,6.85E-12,2.13,0.03,2.777408361,1543,,2.66E-12,2.62E-12,9.59E-12,2.13,0.8,1.02,1.79,0.03,0.0413,0.00762,5.92E-06,8.49E-07,0.9,10,1.86,0.02,2.18,0.06,2810000000,1190000000,6.13E-12,9.04E-13,0.7,9,8.98E-11,LP
28,M,Kes 73,Kes 73,spp,1,1E 1841-045,Pulsar,0.126620947,,,,4593,60,280.2099915,-4.889999866,0.3,0.3,7.23E-11,7.88E-12,7.88E-12,2.37,0.04,5.920406342,991,,3.10E-12,3.30E-12,1.07E-10,1.33,0.08,0.07,1.82,0.02,0.129,0.00805,6.07E-05,5.15E-06,4.6,10,1.33,0.05,2.54,0.04,2770000,773000,2.56E-10,3.75E-11,4.3,9,1.42E-09,LP
29,U,,FGES J1036.3-5833,,3,Eta Carina,XRB,1.578696301,['4U 1036-56' 'Eta Carina' '2MASS J10445192-6025115'],['HMXB' 'XRB' 'star'],[ 1.77237478  1.5786963  2.16224687],2187,19,159.0939941,-58.56299973,2.5,2.5,2.90E-10,8.47E-12,8.47E-12,1.93,0.01,75.25997162,513,[ 505  513  515 ],1.39E-12,1.39E-12,7.80E-12,3.76,0.86,1.31,1.74,0.02,0.0313,0.0045,8.41E-06,7.98E-07,4.8,10,3.57,1.14,1.85,0.01,23700,4760,1.79E-14,8.18E-14,11.2,9,7.28E-12,2comp
30,U,,FGES J1409.1-6121,,3,SWIFT J1408.2-6113,CV,0.190925197,['[CG2001] G311.45-0.13' 'SWIFT J1408.2-6113' 'MAXI J1409-619'],['U2' 'CV' 'Pulsar'],[ 0.70551626  0.1909252  0.60239357],3062,26,212.2940063,-61.35300064,0.7,0.7,2.50E-10,1.22E-11,1.22E-11,2.16,0.02,4.670129776,707,[ 705  707  1436 ],1.78E-12,1.90E-12,1.15E-11,2.68,0.46,0.57,1.67,0.02,0.0707,0.0048,1.41E-05,1.31E-06,3.6,10,2.45,,1.91,0.01,13200,92500,1.23E-12,,37.2,9,1.31E-11,2comp
31,U,,HESS J1808-204,,1,SGR 1806-20,Pulsar,0.1271754,,,,4352,52,272.0499878,-20.47999954,0.6,0.6,4.93E-11,7.41E-12,7.41E-12,2.57,0.06,2.545187712,952,,3.10E-12,3.53E-12,5.26E-11,1.66,0.15,0.15,1.88,0.03,0.0945,0.0145,2.50E-05,3.94E-06,1.5,9,1.66,0.09,2.5,0.09,11500000,9340000,5.21E-11,1.54E-11,1.9,8,1.84E-10,LP
